Sentiment	SentimentText
0	@Deshine has your face exploded pretty? 
1	@vjgade Exciting  What kind of business?
1	is finally having a normal weekend after 15 years.. today is Sunday - I am OFF 
0	@HoneyJune k... i guess i cant help it.... byeee 4eva....  (m really sad)
1	Take care fellow twitters to the garden i go to work hard 
1	@davinci186282 thankfully you are on Twitter now because I feel so connected based on your 2 updates 
1	shopping today  ... HAUL  &amp; then my boyfriends grandmas house.
1	It's raining  yay!!
1	@JNicoleF nothing. 
1	shit! i hace a cold ï¿½ ï¿½,i need a sexy doctor  ahahahaha
1	@JoLoPe because your aura is so mysterious, yet loving my friend... Love it! 
0	Search for chametz finished. Last bread meal tomorrow morning. 
1	@WickedTamara Well, yes, that might help! 
0	@soster I totally understand....but at the same time... 
0	wishes he had more chocolate pecan nut fudge 
0	getting ready to clean the house from top to bottom 
0	@lovebiscuits   But you'll hopefully have a bun in the oven by then. 
0	Orr....Just Kidding...I Looked At The Wrong Place. 
0	@JIMarshall no this location mess is still on my profile and I can't get it off 
1	envy to dadhoots 
1	@oOoshecutee hey hey now!! 
1	its so cold, early winter? I like it tho 
1	@beneubanks I like your HR shirts. They're inspiring me to think of witty/rude HR-like sayings I'd never actually wear. 
1	@MichelleZen Are you done with your website yet? what's the link I want to check it out  How's the broadcast going??
1	Hi all, I have moved my website to a new home http://lindaslittlecorner.com/ please drop in and have a look 
1	@lindseydevoil Cake Good 
0	@conii_star i miss u sooooo much! I wanna see yaa like now! 
0	is back in Chch, oh yea!! Now to find a new flat  Have to move out, flatties moving in with boyfriend so I have to go ...... 
0	@Pyro1988 I tried to, but it didn't work. 
1	@Convolvemedia ha! can't wait til they get here. you took a decent pic considering the low lights. thanks for sharing! 
1	is on the bus to college, still wanting that tlc she asked for on monday. God its been a week? Get to meet a guy who won an oscar today! 
1	Big THANKS to @dennisschaub who cooked dinner tonight   it was very yummy &amp;  he cleaned up the kitchen afterwards!
1	Just came back. 
0	I feel so sad &amp; missing my hometown today  esp my grandma... Thank god for Skype
1	Dinner was great! I have missed my college roomies.  Got home and boys were dismantling a door so they could play beerpong. wow.
1	@jackalltimelow wow, just noticed you changed your background. what is it? junkfood?? 
0	Tonight meeting with my best friend and off to Assen to my moms house. Miss my bf though 
0	finishing off school assignment!!!    how boring!
1	wish my best friend was still out in San Diego with me...2 more weeks 
0	Iis working until 4 now and really wants geordanos thin crust cheese, black olives, peperoni and mushroom pizza 
1	http://bit.ly/niW6x   I think it's greeeaaat !! 
0	@epicpetwars Can you put a confirmation prior to using respect points, I keep buying coffee &amp; boxing gloves by clicking them accidentally 
0	Is officially officially  O F F I C I A L Y missin him 
1	@DENISE_RICHARDS Good morning and have a lovely day 
0	i hate my new nick names at work... *hmph* !!!!!! 
1	@twitwrit You're probably right. But sometimes it's more fun just complaining about it 
1	has a day off....wow 
0	WOW huge night last night. And huge headache. 
0	Ugh. As if I cannot see MTV Movie Awards  Sux to be in UK.
1	OMG! I just met another displaced hockey mom. 
1	@TomFelton: I don't like hospitals or needles either; probably a pretty common phobia but still scary.Feel better soon 
1	&quot;it's funny when you're coming in first, but you hope that you're last.  You just hope that it lasts...&quot; --Drizzy 
0	i havent been on twitter for a while, turns out i had a viruis :p sad thing is i still cod have used the internet 
1	@Mr_YoutuBe Lmaoo..Awww..I Wont.. 
0	the only bad thing is, i have to go to school tomorrow in gorgeous weather 
1	@killiterati *beams* Double Barrel, Torae and Marco Polo's Duck Down release this past tuesday. 
1	@SteveScottWCBS They will have to go back and research our previous tweets... Lot's of interesting conversation to go through... 
0	Does not like sun burn. 
0	I'm bored and still tired.. What's wrong with me? 
0	The Block Party has been cancelled. 
0	@DuaneJackson I know there were some bargains near farringdon, free rent periods etc... not sure re: victoria tho 
1	@NathanFillion what tips dyou need for England? is very sunny here at the moment 
0	$200 down the drain because my car got towed   
1	@3sixty5days i have no idea, i just wanted to ask 
0	My punishment for going on vacation? The top of my head is peeling  i never thought i would hate the sun 
1	bout to go in the bath 
0	Watching my Sox, because they're the only men I can rely on at this point 
1	@zem42 I cannot tell a lie. I did. 
1	I'm up.. and eating yummy breakfast with my sweety little brother  omg sweety?? not really  hehe 
1	mcdonalds with brady and esai 
1	Leaving in FOUR DAYS for a 12 hour flight  
1	I am talking to my bestest friend in the whole wide world.  I just got a whole lot happier.
0	not feeling too great today 
0	@mitchelmusso i wish i could be at the grove tonight  but im reaaly sick ughh and at the worst time!
0	Nevermind the buzzcocks.. Wel een oude 
1	is lovin' her new hair! Thanks Chai and JDog 
1	having a great day so far. the sun is out and breakie with my bestest was a great start 
0	While my guitar gently weeps! 
1	Star trek was good times. 
1	@itakepeektures i love all your photographies! 
1	@marjamma You obviously have a more trusting naturing than us! 
0	rise up rise up (8)!, reminds me of turkey  X
1	i made up a song. 
0	talking to my lovely lovie. Had a bad dream  scary.
1	@taylorswift13 http://twitpic.com/5atcr - The one on the left is hot while the one on the right is cute!  You are so BEAUTIFUL taylor! ...
1	-congrats class of 2009! You rock  back from Alder's graduation. Michael's grad party and hanging out for the rest if the day! yay summer!
0	@icolin you're going the ONE night that I don't. 
1	@ryanstewart What @joshtynjala said 
0	@kestrachern flip to today's copy of urban. some Singaporean fashion blogger somebody was wearing it 
1	@jommaz Who will I be caught by? 
1	didnt get the lasagna, only indomie 
